"","Resample","SVM_Radial~MAE","SVM_Radial~RMSE","SVM_Radial~Rsquared","GBM~MAE","GBM~RMSE","GBM~Rsquared","Lm~MAE","Lm~RMSE","Lm~Rsquared","RF~MAE","RF~RMSE","RF~Rsquared"
"1","Fold01.Rep1",35.3123272368421,74.8336456772952,0.500612375547752,36.3717758185957,67.8767534707802,0.586121453680429,50.9977923714135,91.1665043023098,0.196014717761172,32.8214491725768,68.7555296211698,0.58104753559314
"2","Fold01.Rep2",35.8600005472909,78.2610010704231,0.466323741327956,36.8429523676241,69.9573128318291,0.569225420643486,50.8357675412287,90.9286950375249,0.174571656858599,33.0693125527961,71.4869587968401,0.554693800707432
"3","Fold01.Rep3",34.0165297791201,72.3001344692848,0.469556682967086,35.1983033833673,64.4143526032686,0.573856776870418,53.7721164243076,96.4287375155873,0.139122974730641,31.2760101317123,64.1845936658381,0.579577022800455
"4","Fold02.Rep1",33.5719820548941,71.6643533645299,0.533904195318513,34.0218295703119,63.2923875076059,0.633252153639008,54.6759713935959,97.7650468581265,0.144906335071605,31.4999025173171,65.0619421573297,0.619142821878113
"5","Fold02.Rep2",35.0987768417635,75.3848263559577,0.442407680490039,35.4998347617204,65.6961287228186,0.573027615938615,54.0301877527633,95.9989707182855,0.140356557036926,31.5740212658228,67.0054107264126,0.557306985769166
"6","Fold02.Rep3",35.2589835080717,74.7082088118293,0.501813220906662,35.671073184941,65.9191161139768,0.606394760955282,53.492924381633,92.880510343062,0.167861395964084,31.5349922323539,65.9205698320733,0.615595184901688
"7","Fold03.Rep1",35.9735781191264,79.8779626170972,0.475526672013429,35.6394059031369,68.1311196824128,0.61402332986732,54.4657071576758,96.8389724825482,0.175324058927748,32.0840704510897,69.9265752926282,0.606814437543609
"8","Fold03.Rep2",34.1086135433625,73.3715953236626,0.431703400280624,35.8070144232526,66.4463454556221,0.53325843679766,52.9869692253209,94.8200054252485,0.171067608079851,31.2754582278481,66.5326804989373,0.527746618076004
"9","Fold03.Rep3",34.4995547294903,76.0377537843939,0.445043025422348,35.9125011321459,68.5861003670657,0.54386866365946,55.2757560175152,96.8279100931004,0.160393953798201,32.7840567375887,70.7130323114015,0.515403106860337
"10","Fold04.Rep1",35.0792514850959,74.8083821764495,0.419209797572948,35.8657394870358,67.9472503814381,0.516252914741851,53.1064272173203,96.5189523938067,0.185917647916107,30.8477828947368,66.403682128261,0.538739364983091
"11","Fold04.Rep2",34.001840038783,76.457199951023,0.482653483619103,35.2721301948342,64.9039541958133,0.622145471511407,51.1412864770204,87.8535264717622,0.193712669367153,30.7226120966379,66.7176845146207,0.607685342516251
"12","Fold04.Rep3",34.5948796853824,74.5449934392993,0.421170077903508,34.7588496525904,63.1543056544865,0.574550707527163,52.5380903149461,94.4342058139622,0.184781560637743,31.1012804527792,64.3551738284062,0.557176877802925
"13","Fold05.Rep1",35.9445775353415,77.4709727526834,0.467756475166227,35.9631683602793,64.503337960929,0.626245337441083,51.6895041027533,89.8745807872758,0.202180970789293,31.7761587301587,66.458232151988,0.610561439748415
"14","Fold05.Rep2",35.0368223291459,75.8041451141579,0.447077468319147,35.5041851931816,67.1604902081451,0.562314859101523,57.6662111183367,103.410003260242,0.146502509824746,31.9249129920595,67.6615446270173,0.556307833178422
"15","Fold05.Rep3",35.3412254458265,79.6650906854475,0.475598300069466,35.4801220124232,68.0921768208509,0.609793752164839,53.8877700312929,96.1345902641397,0.149494121691626,31.1511763811455,69.4660532683136,0.608933149213733
"16","Fold06.Rep1",34.1958367873205,70.9206742718535,0.450618435111641,34.8239015691303,61.0533242991003,0.588981096313658,52.5820981101557,89.7643524004002,0.175630905576995,30.2682306132793,60.8174448429324,0.593173085479704
"17","Fold06.Rep2",34.8171672016326,75.5529644553191,0.423262125730502,35.2522184586279,65.1467215498013,0.56672595230563,54.662591461895,99.1653575217241,0.173449842651688,31.2806555217832,65.4276510023477,0.564613950839775
"18","Fold06.Rep3",34.9254466759626,74.7795169820515,0.447922518880888,36.6133309884247,67.6860055876259,0.545038188435694,51.5788334733892,87.2142035893684,0.170424265021984,31.4244964539007,65.3248256264775,0.575632479061405
"19","Fold07.Rep1",34.0127860771407,74.6801345378594,0.444879386609154,33.4660917840001,63.0322137342537,0.599518253214207,50.1039144156138,89.895836932865,0.159098172899921,29.369821591485,61.5686816318719,0.622721065749655
"20","Fold07.Rep2",33.6040727897279,71.5826039841105,0.508982240163731,34.6879273436801,62.8817144900475,0.615199138464092,53.9802527849754,94.2594364028476,0.172733355457359,30.7399775299882,63.2154336735068,0.617204816504164
"21","Fold07.Rep3",34.044965361815,74.2526342520622,0.487284632709627,35.2621745329696,66.9251592866205,0.579311406564686,50.4144263201417,89.4063756659369,0.184316874647572,31.3344299712789,66.4376267108408,0.589159802931885
"22","Fold08.Rep1",35.4136734028984,79.3020013191102,0.422633810179318,37.268630016985,70.37036110643,0.54112258309091,53.8149877849368,94.9813046750732,0.171819203266167,31.7453995607366,68.875021052955,0.5619973914036
"23","Fold08.Rep2",33.6595699366514,72.5354004442605,0.529876143732412,34.4759146979369,64.3927150284015,0.623589296896217,52.5216258901998,91.8773788254646,0.165464212712175,30.5684107505071,64.7099100101668,0.628905867292901
"24","Fold08.Rep3",35.9190389933424,75.652120320999,0.486161743380024,35.0091776138937,64.7516581731694,0.619160806447955,52.8996980262318,97.750294743141,0.18908330807039,31.3385715492482,65.2236902777281,0.625277463595455
"25","Fold09.Rep1",33.9754240293576,76.5916849599008,0.429412287410379,35.4475642225039,67.7791995109027,0.548232702585672,53.6789430959484,91.2060143676926,0.134481779794172,30.9482265585403,67.6237133727756,0.549913649235277
"26","Fold09.Rep2",33.7201271289811,71.5415442880407,0.489153507976542,34.1393771596459,62.9883934972126,0.601079347107267,51.6275087756794,86.2612597586269,0.186167146553492,30.6388556231003,63.291788014318,0.599466525369859
"27","Fold09.Rep3",36.8381904955124,81.6699954561939,0.436076363429654,36.4223636204274,69.6711921692978,0.584926934667455,52.4704019660778,90.194838135893,0.174163425272422,32.7637913498902,70.6774009449126,0.579820039421995
"28","Fold10.Rep1",35.765897892834,77.2513485953664,0.444280550359948,35.7202158534093,66.1129189754165,0.589659911756902,53.8068899604813,95.3166436417794,0.171925228453368,32.3161878695726,67.0563433152808,0.58293109569811
"29","Fold10.Rep2",36.4077704589298,78.0937354049157,0.491117864185439,35.0615594010826,64.9166581963175,0.646323139928044,49.2334846741815,87.4346388246778,0.202492528827549,31.81877208988,66.7523398168048,0.639086464399261
"30","Fold10.Rep3",33.9889399121582,73.2712766955224,0.451007469489783,34.2549254441628,63.7627783698452,0.579330708960684,52.6891896752836,91.9494356041064,0.194349224935249,30.293515704154,63.8596367003495,0.576162578963695
